nom_demande	verdict	cle_ou_accepte	note
Chirita tamiana	SYNONYME	SYNONYME-> [12260221]	résoudre vers le nom accepté avant collecte
Kohleria eriantha	SYNONYME	SYNONYME-> [6365157]	résoudre vers le nom accepté avant collecte
Curio rowleyanus	EXPOSEE		déjà servie par Iris 8
Curio radicans	COLLECTEE		dans plants.csv, entraînée v8, exportable
Curio herreanus	A_COLLECTER	3149664	espèce acceptée, clé GBIF
Senecio macroglossus	COLLECTEE		dans plants.csv, entraînée v8, exportable
Gynura aurantiaca	COLLECTEE		dans plants.csv, entraînée v8, exportable
Gerbera jamesonii	EXPOSEE		déjà servie par Iris 8
Chrysanthemum morifolium	A_COLLECTER	3150767	espèce acceptée, clé GBIF
Argyranthemum frutescens	EXPOSEE		déjà servie par Iris 8
Hedera helix	EXPOSEE		déjà servie par Iris 8
Hedera canariensis	COLLECTEE		dans plants.csv, entraînée v8, exportable
Schefflera arboricola	EXPOSEE		déjà servie par Iris 8
Schefflera actinophylla	SYNONYME	SYNONYME-> [11008739]	résoudre vers le nom accepté avant collecte
Fatsia japonica	EXPOSEE		déjà servie par Iris 8
Fatshedera lizei	A_COLLECTER	3597552	espèce acceptée, clé GBIF
Polyscias fruticosa	EXPOSEE		déjà servie par Iris 8
Polyscias scutellaria	COLLECTEE		dans plants.csv, entraînée v8, exportable
Polyscias balfouriana	COLLECTEE		dans plants.csv, entraînée v8, exportable
Tetrapanax papyrifer	EXPOSEE		déjà servie par Iris 8
Pachira aquatica	EXPOSEE		déjà servie par Iris 8
Hibiscus rosa-sinensis	EXPOSEE		déjà servie par Iris 8
Abutilon pictum	SYNONYME	SYNONYME-> [7900084]	résoudre vers le nom accepté avant collecte
Abutilon megapotamicum	SYNONYME	SYNONYME-> [8220878]	résoudre vers le nom accepté avant collecte
Anisodontea capensis	A_COLLECTER	3940873	espèce acceptée, clé GBIF
Citrus limon	A_COLLECTER	7647136	espèce acceptée, clé GBIF
Citrus japonica	EXPOSEE		déjà servie par Iris 8
Citrus mitis	PAS_ESPECE	RANG GENUS (Citrus L.) conf=97	cultivar/grex/nom de commerce → § 13.5, jamais une classe
Citrus sinensis	SYNONYME	SYNONYME-> [8077391]	résoudre vers le nom accepté avant collecte
Citrus aurantiifolia	A_COLLECTER	3190164	espèce acceptée, clé GBIF
Citrus medica	EXPOSEE		déjà servie par Iris 8
Murraya paniculata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Coffea arabica	EXPOSEE		déjà servie par Iris 8
Gardenia jasminoides	EXPOSEE		déjà servie par Iris 8
Pentas lanceolata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Ixora coccinea	COLLECTEE		dans plants.csv, entraînée v8, exportable
Nertera granadensis	A_COLLECTER	2911624	espèce acceptée, clé GBIF
Hydrangea macrophylla	EXPOSEE		déjà servie par Iris 8
Pelargonium zonale	EXPOSEE		déjà servie par Iris 8
Pelargonium peltatum	EXPOSEE		déjà servie par Iris 8
Pelargonium graveolens	EXPOSEE		déjà servie par Iris 8
Pelargonium grandiflorum	COLLECTEE		dans plants.csv, entraînée v8, exportable
Impatiens walleriana	EXPOSEE		déjà servie par Iris 8
Impatiens hawkeri	EXPOSEE		déjà servie par Iris 8
Cyclamen persicum	EXPOSEE		déjà servie par Iris 8
Primula obconica	A_COLLECTER	7290874	espèce acceptée, clé GBIF
Primula vulgaris	EXPOSEE		déjà servie par Iris 8
Ardisia crenata	COLLECTEE		dans plants.csv, entraînée v8, exportable
Lysimachia nummularia	EXPOSEE		déjà servie par Iris 8
Rhododendron simsii	EXPOSEE		déjà servie par Iris 8
Camellia japonica	EXPOSEE		déjà servie par Iris 8
Plumbago auriculata	EXPOSEE		déjà servie par Iris 8
Passiflora caerulea	EXPOSEE		déjà servie par Iris 8
Passiflora edulis	EXPOSEE		déjà servie par Iris 8
Jasminum polyanthum	EXPOSEE		déjà servie par Iris 8
Jasminum sambac	COLLECTEE		dans plants.csv, entraînée v8, exportable
Olea europaea	EXPOSEE		déjà servie par Iris 8
Bougainvillea glabra	EXPOSEE		déjà servie par Iris 8
Clerodendrum thomsoniae	COLLECTEE		dans plants.csv, entraînée v8, exportable
Clerodendrum ugandense	SYNONYME	SYNONYME-> [7307159]	résoudre vers le nom accepté avant collecte
Thunbergia erecta	COLLECTEE		dans plants.csv, entraînée v8, exportable
Thunbergia alata	EXPOSEE		déjà servie par Iris 8
Fittonia albivenis	EXPOSEE		déjà servie par Iris 8
Fittonia gigantea	A_COLLECTER	5574499	espèce acceptée, clé GBIF
Hypoestes phyllostachya	EXPOSEE		déjà servie par Iris 8
Pachystachys lutea	COLLECTEE		dans plants.csv, entraînée v8, exportable
