n,source,id,observation,organe,auteur,licence,date,url,retenue,note
11,plantnet,3d293c3bdba2af7b36458e093b442b0221261298,1030024841,leaf,Oscar Roberto Prieto Sandoval,cc-by-sa,"Nov 19, 2025",https://bs.plantnet.org/image/o/3d293c3bdba2af7b36458e093b442b0221261298,oui,
12,plantnet,95262f05615edeaa02d074481777e6494fc798a8,1029996823,leaf,Beatrice Nunes,cc-by-sa,"Nov 16, 2025",https://bs.plantnet.org/image/o/95262f05615edeaa02d074481777e6494fc798a8,oui,
13,plantnet,155fb309daea1fa1904b95ba0eafcf5e5277b649,1025332422,leaf,Fatou Matou,cc-by-sa,"Dec 2, 2024",https://bs.plantnet.org/image/o/155fb309daea1fa1904b95ba0eafcf5e5277b649,oui,
14,plantnet,26b2c7fc9ecbb5ccba0b4c7c77f2de105b5d78d4,1020935468,leaf,Brad Dufton,cc-by-sa,"Feb 15, 2024",https://bs.plantnet.org/image/o/26b2c7fc9ecbb5ccba0b4c7c77f2de105b5d78d4,oui,
15,plantnet,c645e5a16724f0bcd5b88dbe09f1bff75767990d,1030310870,leaf,Frans Janssen,cc-by-sa,"Jan 26, 2026",https://bs.plantnet.org/image/o/c645e5a16724f0bcd5b88dbe09f1bff75767990d,oui,
16,plantnet,c68f5abf7f3abe6d7450e3b687182202ccd1639a,1030436818,leaf,Neves Teresa,cc-by-sa,"Feb 22, 2026",https://bs.plantnet.org/image/o/c68f5abf7f3abe6d7450e3b687182202ccd1639a,oui,
17,plantnet,e4eb73af169825d96229c649459f6ea833265367,1025027859,leaf,Jocelyne Vasseur,cc-by-sa,"Oct 22, 2024",https://bs.plantnet.org/image/o/e4eb73af169825d96229c649459f6ea833265367,oui,
18,plantnet,20982f335ef82c4e91a748533e39d3449eb6b1dc,1026061999,leaf,Kateřina Kratochvílová,cc-by-sa,"Mar 27, 2025",https://bs.plantnet.org/image/o/20982f335ef82c4e91a748533e39d3449eb6b1dc,oui,
19,plantnet,e99deee219e6225acd69e04c80dd3d186fc6cba8,1024774244,leaf,agilob,cc-by-sa,"Sep 28, 2024",https://bs.plantnet.org/image/o/e99deee219e6225acd69e04c80dd3d186fc6cba8,oui,
20,plantnet,8612cc099990de127f680579c212e48e6a3bee1b,1025523278,leaf,elle mcc,cc-by-sa,"Jan 11, 2025",https://bs.plantnet.org/image/o/8612cc099990de127f680579c212e48e6a3bee1b,oui,
21,plantnet,61123f3aa25cbd5a9e935d7107e545085cfd1827,1030192040,leaf,Benedito Carlos Dantas Dantas,cc-by-sa,"Jan 1, 2026",https://bs.plantnet.org/image/o/61123f3aa25cbd5a9e935d7107e545085cfd1827,non,capture d'écran réseau social
22,plantnet,2084d4446934f8468476e7ba413edf4230c69ff6,1025029297,leaf,Daniel Ley,cc-by-sa,"Oct 22, 2024",https://bs.plantnet.org/image/o/2084d4446934f8468476e7ba413edf4230c69ff6,oui,
23,plantnet,5bcaa5affb4fe370c52cdd9ea22be3c558f70601,1014332893,leaf,samken yangchen,cc-by-sa,"Jun 26, 2022",https://bs.plantnet.org/image/o/5bcaa5affb4fe370c52cdd9ea22be3c558f70601,oui,
24,plantnet,2f584278a1385d01c8051727f04eb9b800a444c9,1016157982,leaf,hullio,cc-by-sa,"Dec 11, 2022",https://bs.plantnet.org/image/o/2f584278a1385d01c8051727f04eb9b800a444c9,oui,
25,plantnet,f4c7dc0bc1ddeeb8f385073db3f74eb759124ddf,1018121542,leaf,ruri prasetyowati,cc-by-sa,"Jun 2, 2023",https://bs.plantnet.org/image/o/f4c7dc0bc1ddeeb8f385073db3f74eb759124ddf,oui,
26,plantnet,1dfd055a1865c9fe7ddebb3a77c9d7c090294518,1019703622,leaf,Agata Kornacka,cc-by-sa,"Aug 26, 2023",https://bs.plantnet.org/image/o/1dfd055a1865c9fe7ddebb3a77c9d7c090294518,oui,
27,plantnet,e6d58a78b707095770dcdb367b7f7f536e155ea7,1022776856,leaf,tamethyst,cc-by-sa,"Jun 3, 2024",https://bs.plantnet.org/image/o/e6d58a78b707095770dcdb367b7f7f536e155ea7,oui,
28,plantnet,1ca95ce334a5bd16c128fb20d6908b31ac2aad9b,1018618550,leaf,Marjolaine Bezier,cc-by-sa,"Jun 24, 2023",https://bs.plantnet.org/image/o/1ca95ce334a5bd16c128fb20d6908b31ac2aad9b,oui,
29,plantnet,a19b9c93f306c7db6c87aa353f9d9eecbfd9c0d2,1025793927,leaf,Fatou Matou,cc-by-sa,"Feb 25, 2025",https://bs.plantnet.org/image/o/a19b9c93f306c7db6c87aa353f9d9eecbfd9c0d2,oui,
30,plantnet,f354281aeba69fafe68c1d1dd2d0736c106a06fd,1016796110,leaf,Dari Sylvia,cc-by-sa,"Apr 1, 2023",https://bs.plantnet.org/image/o/f354281aeba69fafe68c1d1dd2d0736c106a06fd,oui,
31,plantnet,57f3ec5f16d08fb38b8883ae20cb53c5e615b34d,1020554283,leaf,Nocturnal Gate,cc-by-sa,"Dec 3, 2023",https://bs.plantnet.org/image/o/57f3ec5f16d08fb38b8883ae20cb53c5e615b34d,oui,
32,plantnet,aea3637d2f160d51240a89739d3e461f9040307d,1016795977,leaf,Dari Sylvia,cc-by-sa,"Apr 1, 2023",https://bs.plantnet.org/image/o/aea3637d2f160d51240a89739d3e461f9040307d,oui,
33,plantnet,9b8bce0b7fbe816f3a1c37058a120e0ce198de35,1016795977,leaf,Dari Sylvia,cc-by-sa,"Apr 1, 2023",https://bs.plantnet.org/image/o/9b8bce0b7fbe816f3a1c37058a120e0ce198de35,oui,
34,plantnet,3c4e919f712b05090b742932e5afdbf0a0873d25,1016796110,leaf,Dari Sylvia,cc-by-sa,"Apr 1, 2023",https://bs.plantnet.org/image/o/3c4e919f712b05090b742932e5afdbf0a0873d25,non,doublon de 32
35,plantnet,e8320183f93e9ad311507910a8ebdfbf28949ea4,1016796110,leaf,Dari Sylvia,cc-by-sa,"Apr 1, 2023",https://bs.plantnet.org/image/o/e8320183f93e9ad311507910a8ebdfbf28949ea4,oui,
36,plantnet,165df814c86f840040dcbaed5c26d75d1d591d1f,1016796110,leaf,Dari Sylvia,cc-by-sa,"Apr 1, 2023",https://bs.plantnet.org/image/o/165df814c86f840040dcbaed5c26d75d1d591d1f,oui,
37,plantnet,119855f9b15f4d511705dee4a41a3a76c9e036eb,1025563187,leaf,Gilson Gonçalves,cc-by-sa,"Jan 18, 2025",https://bs.plantnet.org/image/o/119855f9b15f4d511705dee4a41a3a76c9e036eb,oui,
38,plantnet,c143edb61c8bd2c5a961d4f01272b730f459d9e5,1029830317,leaf,Andrew Morgan,cc-by-sa,"Oct 24, 2025",https://bs.plantnet.org/image/o/c143edb61c8bd2c5a961d4f01272b730f459d9e5,oui,
39,plantnet,298149ef5d1ab74f3c2341dfb26c92a595fa62fe,1014563190,leaf,jeff S.,cc-by-sa,"Jul 5, 2022",https://bs.plantnet.org/image/o/298149ef5d1ab74f3c2341dfb26c92a595fa62fe,oui,
40,plantnet,382eedc0cc2363a1cd1b5afaa8d034c8ff30e072,1020210547,leaf,luis zumaeta,cc-by-sa,"Oct 10, 2023",https://bs.plantnet.org/image/o/382eedc0cc2363a1cd1b5afaa8d034c8ff30e072,oui,
41,plantnet,411ec8a67db81d0dea950c1e4e32f828bb382c68,1026418422,leaf,KP Laer,cc-by-sa,"Apr 16, 2025",https://bs.plantnet.org/image/o/411ec8a67db81d0dea950c1e4e32f828bb382c68,oui,
42,plantnet,597113f75bd6588479ae859d01f739086c51a6e1,1029465471,leaf,Alexandra Abrunhosa,cc-by-sa,"Sep 17, 2025",https://bs.plantnet.org/image/o/597113f75bd6588479ae859d01f739086c51a6e1,oui,
43,plantnet,bed004137c6d5e464e719ac7c67b164ee52d035c,1028827082,leaf,Lena D.,cc-by-sa,"Aug 2, 2025",https://bs.plantnet.org/image/o/bed004137c6d5e464e719ac7c67b164ee52d035c,oui,
44,plantnet,2e2f0de46d11bd61ff39eacf23503176271497ac,1020764612,leaf,patrick Mioulane,cc-by-sa,"Jan 14, 2024",https://bs.plantnet.org/image/o/2e2f0de46d11bd61ff39eacf23503176271497ac,oui,
45,plantnet,edd642c7fee3c99927390d7fe000cdacb4902061,1021442440,leaf,bobsterhopster,cc-by-sa,"Apr 4, 2024",https://bs.plantnet.org/image/o/edd642c7fee3c99927390d7fe000cdacb4902061,oui,
46,plantnet,f0c71296767202f06c73f3c5f83c03aa8d9d54fa,1025434477,leaf,Panaméenne,cc-by-sa,"Dec 23, 2024",https://bs.plantnet.org/image/o/f0c71296767202f06c73f3c5f83c03aa8d9d54fa,oui,
47,plantnet,b9b6c6a7cd28a1f66aee0e1a0a4cc731a18b1cc1,1032783325,leaf,Gâche communication,cc-by-sa,"Jul 31, 2026",https://bs.plantnet.org/image/o/b9b6c6a7cd28a1f66aee0e1a0a4cc731a18b1cc1,oui,
48,plantnet,7e439e79955a8d6062c0ed373f3a02afff1f6ea8,1025238689,leaf,Zoguiok,cc-by-sa,"Nov 16, 2024",https://bs.plantnet.org/image/o/7e439e79955a8d6062c0ed373f3a02afff1f6ea8,oui,
49,plantnet,2553677a919eeda9466efdb18120c808a0168539,1016610092,leaf,Jeanne Pivoine,cc-by-sa,"Mar 15, 2023",https://bs.plantnet.org/image/o/2553677a919eeda9466efdb18120c808a0168539,oui,
50,plantnet,81c9423cc3140c1a1a14abc054a7a5a89409e7a4,1019301454,leaf,Marta Czaplicka,cc-by-sa,"Jul 31, 2023",https://bs.plantnet.org/image/o/81c9423cc3140c1a1a14abc054a7a5a89409e7a4,oui,
51,plantnet,4e9277d5b92323d34caf7066ef6444b9444751d9,1029831234,leaf,Laetitia Maumejean,cc-by-sa,"Oct 24, 2025",https://bs.plantnet.org/image/o/4e9277d5b92323d34caf7066ef6444b9444751d9,oui,
52,plantnet,2393c98d4132234c9edbf3b8ea2349835b89d7ce,1031101970,leaf,Ralf Kurt Braun,cc-by-sa,"Apr 22, 2026",https://bs.plantnet.org/image/o/2393c98d4132234c9edbf3b8ea2349835b89d7ce,oui,
53,plantnet,be3ef2a89b27d0cae34bc0eb1243f5cda83d8a2a,1026808541,leaf,Carlos Calderon,cc-by-sa,"May 2, 2025",https://bs.plantnet.org/image/o/be3ef2a89b27d0cae34bc0eb1243f5cda83d8a2a,oui,
54,plantnet,95e9e53dc5d4f0bf27ea8af4f3d34027539d387d,1019588314,leaf,Cookie Monster,cc-by-sa,"Aug 18, 2023",https://bs.plantnet.org/image/o/95e9e53dc5d4f0bf27ea8af4f3d34027539d387d,oui,
55,plantnet,65a83f5b3dd23e2b677e580fc37ba5b4c47f43bf,1032668698,leaf,Moana974,cc-by-sa,"Jul 19, 2026",https://bs.plantnet.org/image/o/65a83f5b3dd23e2b677e580fc37ba5b4c47f43bf,oui,
56,plantnet,f56224b77a00dd33b9158637e67bf59d6831ca96,1025791555,leaf,Romina Morales,cc-by-sa,"Feb 24, 2025",https://bs.plantnet.org/image/o/f56224b77a00dd33b9158637e67bf59d6831ca96,oui,
57,plantnet,76bc04b11c646ec6e12618d7cee86458bfab3dfc,1027211442,leaf,tdtexas49,cc-by-sa,"May 17, 2025",https://bs.plantnet.org/image/o/76bc04b11c646ec6e12618d7cee86458bfab3dfc,oui,
58,plantnet,a244bdd01803f977f3d296647369eae575111025,1025422302,leaf,FAR,cc-by-sa,"Dec 21, 2024",https://bs.plantnet.org/image/o/a244bdd01803f977f3d296647369eae575111025,oui,
59,plantnet,a5ed355c160202e7bca6c72c199d66e524f64417,1013826451,leaf,Elodie Capel,cc-by-sa,"Jun 3, 2022",https://bs.plantnet.org/image/o/a5ed355c160202e7bca6c72c199d66e524f64417,oui,
60,plantnet,2464e8c7ee50a2ce163ec2e6e8166f6231a0ebf6,1017869106,leaf,B Rachel,cc-by-sa,"May 22, 2023",https://bs.plantnet.org/image/o/2464e8c7ee50a2ce163ec2e6e8166f6231a0ebf6,oui,
61,plantnet,b18f7ca1d760db6fcf3ae56a3723fc20afc41284,1024808494,leaf,B Rachel,cc-by-sa,"Sep 30, 2024",https://bs.plantnet.org/image/o/b18f7ca1d760db6fcf3ae56a3723fc20afc41284,oui,
62,plantnet,436d04397922bc610aec34bb5fa69bd11d1d0b2e,1025206566,leaf,Maristella Petrera,cc-by-sa,"Nov 11, 2024",https://bs.plantnet.org/image/o/436d04397922bc610aec34bb5fa69bd11d1d0b2e,oui,
63,plantnet,0f9f44271a3ec3f5f1a9847b179ec542e7a8f034,1030783334,leaf,Isabelle Gourvat,cc-by-sa,"Apr 3, 2026",https://bs.plantnet.org/image/o/0f9f44271a3ec3f5f1a9847b179ec542e7a8f034,oui,
64,plantnet,259b850dcfab6f3cf5642393645882b463296c1d,1030783334,leaf,Isabelle Gourvat,cc-by-sa,"Apr 3, 2026",https://bs.plantnet.org/image/o/259b850dcfab6f3cf5642393645882b463296c1d,oui,
65,plantnet,03f7df33d2a3329b11b47c168a6f975aa75a226e,1020292019,leaf,Milo Bandura,cc-by-sa,"Oct 19, 2023",https://bs.plantnet.org/image/o/03f7df33d2a3329b11b47c168a6f975aa75a226e,oui,
66,plantnet,7818921fe896b52762e6356e9cf1db6525f5c8bc,1021129900,leaf,Tamara Mitchell,cc-by-sa,"Mar 12, 2024",https://bs.plantnet.org/image/o/7818921fe896b52762e6356e9cf1db6525f5c8bc,oui,
67,plantnet,6bfe392c8486606e678ee5b9cf26a818b4a6ec95,1025784957,leaf,Florian Le berre,cc-by-sa,"Feb 23, 2025",https://bs.plantnet.org/image/o/6bfe392c8486606e678ee5b9cf26a818b4a6ec95,oui,
68,plantnet,24a0a317d4e1effebc762cb40bf0ec8eda379c0b,1025616242,leaf,Zahra's Data,cc-by-sa,"Jan 27, 2025",https://bs.plantnet.org/image/o/24a0a317d4e1effebc762cb40bf0ec8eda379c0b,oui,
69,plantnet,b50161a54b9678b6021f35fb6a1fec5c3a685e24,1027428453,leaf,Ratinier G,cc-by-sa,"May 25, 2025",https://bs.plantnet.org/image/o/b50161a54b9678b6021f35fb6a1fec5c3a685e24,oui,
70,plantnet,358c623a624c40366bceb665387e8da82ea9220d,1026901005,leaf,Reza Moshtagh,cc-by-sa,"May 1, 2025",https://bs.plantnet.org/image/o/358c623a624c40366bceb665387e8da82ea9220d,oui,
71,plantnet,fb2e73eb2f9f8d344550d160a4e28506957fd8b4,1017216502,leaf,mim 13,cc-by-sa,"Apr 26, 2023",https://bs.plantnet.org/image/o/fb2e73eb2f9f8d344550d160a4e28506957fd8b4,oui,
72,plantnet,ed6d50bc754ad8a9f49cb6f33b55308f7e493665,1020416319,leaf,Laurie Pouille,cc-by-sa,"Oct 11, 2023",https://bs.plantnet.org/image/o/ed6d50bc754ad8a9f49cb6f33b55308f7e493665,oui,
73,plantnet,5a8e4fa12700a6c4b0bd8b503559aa00d21b8665,1028983499,leaf,Fernandez Silvia,cc-by-sa,"Aug 11, 2025",https://bs.plantnet.org/image/o/5a8e4fa12700a6c4b0bd8b503559aa00d21b8665,oui,
74,plantnet,5d1674f2e5fbf431fb8901c8d74e67754215bf2c,1023302832,leaf,Séraph Cos,cc-by-sa,"May 28, 2024",https://bs.plantnet.org/image/o/5d1674f2e5fbf431fb8901c8d74e67754215bf2c,oui,
75,plantnet,9fbe05b8219ee1266b050e5a837dc4d9a908f9a6,1024672823,leaf,Paulína Šintálová,cc-by-sa,"Sep 19, 2024",https://bs.plantnet.org/image/o/9fbe05b8219ee1266b050e5a837dc4d9a908f9a6,oui,
76,plantnet,8ef73a2b81610cf45884ba074f4aed64e6e4e1f1,1029845084,leaf,laia robres,cc-by-sa,"Oct 26, 2025",https://bs.plantnet.org/image/o/8ef73a2b81610cf45884ba074f4aed64e6e4e1f1,oui,
77,plantnet,b0fd0d8241d1405aafde3f011a16f0244dfcd432,1029845084,leaf,laia robres,cc-by-sa,"Oct 26, 2025",https://bs.plantnet.org/image/o/b0fd0d8241d1405aafde3f011a16f0244dfcd432,oui,
78,plantnet,2623012b2e0df90ff0b240972eeade92ffd42b7a,1021533535,leaf,Loretta Akpoke,cc-by-sa,"Apr 10, 2024",https://bs.plantnet.org/image/o/2623012b2e0df90ff0b240972eeade92ffd42b7a,oui,
79,plantnet,fe9a6890bb97db9aefe354c96f73827b7f45daec,1023774633,leaf,Wynn Vitry,cc-by-sa,"Jul 23, 2024",https://bs.plantnet.org/image/o/fe9a6890bb97db9aefe354c96f73827b7f45daec,oui,
80,plantnet,8228666178af54e812fe018e8e864c2a07d00a30,1032547192,leaf,Alessandra Mota Perez,cc-by-sa,"Jul 12, 2026",https://bs.plantnet.org/image/o/8228666178af54e812fe018e8e864c2a07d00a30,oui,
81,plantnet,0dda1e0a1b01ad36a9686a1975b1003163effd5a,1029178606,leaf,coco,cc-by-sa,"Aug 25, 2025",https://bs.plantnet.org/image/o/0dda1e0a1b01ad36a9686a1975b1003163effd5a,oui,
82,plantnet,cb6048f7c94d48f0b031fb70586c879cebc0c1a4,1020338053,leaf,B Wa,cc-by-sa,"Dec 3, 2022",https://bs.plantnet.org/image/o/cb6048f7c94d48f0b031fb70586c879cebc0c1a4,oui,
83,plantnet,c6f662b4a04ed2d05b3f11ddc457fd992d18f71c,1029819337,leaf,solís Aarón,cc-by-sa,"Oct 22, 2025",https://bs.plantnet.org/image/o/c6f662b4a04ed2d05b3f11ddc457fd992d18f71c,oui,
84,plantnet,cbfd1a29942d01485f75d012de21b442db21fbe0,1030437945,leaf,ANDRE LUC-CAYOL,cc-by-sa,"Feb 22, 2026",https://bs.plantnet.org/image/o/cbfd1a29942d01485f75d012de21b442db21fbe0,oui,
85,plantnet,a344064e0e829a7aafa6e7becd3a0267672c0b7d,1025824784,leaf,Christy Pharr,cc-by-sa,"Mar 2, 2025",https://bs.plantnet.org/image/o/a344064e0e829a7aafa6e7becd3a0267672c0b7d,oui,
86,plantnet,0ee9d0b9cb432e58c838446613a2961f7126bd01,1025188400,leaf,Kina Robinson,cc-by-sa,"Nov 9, 2024",https://bs.plantnet.org/image/o/0ee9d0b9cb432e58c838446613a2961f7126bd01,oui,
87,plantnet,460ddd626e2965d3ccdfa53b74b3a9007fa16bd3,1025921675,leaf,marlene franca,cc-by-sa,"Mar 13, 2025",https://bs.plantnet.org/image/o/460ddd626e2965d3ccdfa53b74b3a9007fa16bd3,oui,
88,plantnet,abb7f166326232fcd24725281344eaabcf763603,1016735105,leaf,Cathy Jst,cc-by-sa,"Mar 27, 2023",https://bs.plantnet.org/image/o/abb7f166326232fcd24725281344eaabcf763603,oui,
89,plantnet,016dce7ba501899a52273bfabd9df8ef38f24755,1030061962,leaf,alba,cc-by-sa,"Nov 27, 2025",https://bs.plantnet.org/image/o/016dce7ba501899a52273bfabd9df8ef38f24755,oui,
90,plantnet,cf337ad6dedb758eea7818f92e56eef9b6503834,1031038380,leaf,Iratxe Atxa,cc-by-sa,"Apr 19, 2026",https://bs.plantnet.org/image/o/cf337ad6dedb758eea7818f92e56eef9b6503834,oui,
91,plantnet,0b5332ee6f3089db5366bcd02c8a6e13d42a8944,1030599243,leaf,Iratxe Atxa,cc-by-sa,"Mar 16, 2026",https://bs.plantnet.org/image/o/0b5332ee6f3089db5366bcd02c8a6e13d42a8944,oui,
92,plantnet,bb13c6d442046338ddb15ee15e96cb8e085ecd47,1029826827,leaf,Harmi van der leij,cc-by-sa,"Oct 23, 2025",https://bs.plantnet.org/image/o/bb13c6d442046338ddb15ee15e96cb8e085ecd47,oui,
93,plantnet,657db3e6d3850903aea36487354b91f650b9152c,1021473193,leaf,Daniel Hopson,cc-by-sa,"Apr 7, 2024",https://bs.plantnet.org/image/o/657db3e6d3850903aea36487354b91f650b9152c,oui,
94,plantnet,b831a8539041c528fdbbf20f6f06cc40d11991c7,1030531825,leaf,piera piera,cc-by-sa,"Mar 8, 2026",https://bs.plantnet.org/image/o/b831a8539041c528fdbbf20f6f06cc40d11991c7,oui,
95,plantnet,390f0fce727489ff8cd01cc87da0571a20fcd6c4,1020853356,leaf,alto-54,cc-by-sa,"Jan 30, 2024",https://bs.plantnet.org/image/o/390f0fce727489ff8cd01cc87da0571a20fcd6c4,oui,
96,plantnet,f239aa367ae9a9f31b8c8e7a4890e90c3a0792ed,1020853356,leaf,alto-54,cc-by-sa,"Jan 30, 2024",https://bs.plantnet.org/image/o/f239aa367ae9a9f31b8c8e7a4890e90c3a0792ed,oui,
97,plantnet,1f0e5dbb2f2abbd3936d543c4e0675345d105cc2,1030295314,leaf,Fernanda Saraiva,cc-by-sa,"Jan 23, 2026",https://bs.plantnet.org/image/o/1f0e5dbb2f2abbd3936d543c4e0675345d105cc2,oui,
98,plantnet,39e0230e0abfa40beecb935edf367cd1bec76e15,1021641883,leaf,Sophie,cc-by-sa,"Apr 15, 2024",https://bs.plantnet.org/image/o/39e0230e0abfa40beecb935edf367cd1bec76e15,oui,
99,plantnet,b19b4673282f931e7128abb0750bb4bbd9efebed,1024103326,leaf,Eman Suherman,cc-by-sa,"Aug 12, 2024",https://bs.plantnet.org/image/o/b19b4673282f931e7128abb0750bb4bbd9efebed,oui,
100,plantnet,48f7f89cb903f1be3ffe333e721bdb2e9ff2a3c8,1021397016,leaf,Chris Kott,cc-by-sa,"Apr 2, 2024",https://bs.plantnet.org/image/o/48f7f89cb903f1be3ffe333e721bdb2e9ff2a3c8,oui,
101,plantnet,7dab39e7b4fa1066999f1e675b023329811d59bd,1019227557,leaf,marlena swartz,cc-by-sa,"Jul 27, 2023",https://bs.plantnet.org/image/o/7dab39e7b4fa1066999f1e675b023329811d59bd,oui,
102,plantnet,4440d83c929071db93407eaae29040f5bfd5fb61,1012563358,leaf,Anouk Me,cc-by-sa,"Feb 13, 2022",https://bs.plantnet.org/image/o/4440d83c929071db93407eaae29040f5bfd5fb61,oui,
103,plantnet,8627fb29428924fc2838a2f9eec0b538756eb9dc,1020433599,leaf,green house vivero,cc-by-sa,"Nov 7, 2023",https://bs.plantnet.org/image/o/8627fb29428924fc2838a2f9eec0b538756eb9dc,oui,
104,plantnet,2cec0f6724e6d072657d28d891ac398c7bb6f673,1025650247,habit,Fabrice Rubio,cc-by-sa,"Dec 31, 2024",https://bs.plantnet.org/image/o/2cec0f6724e6d072657d28d891ac398c7bb6f673,oui,
105,plantnet,dd1654c61104827babaf76cd57137758e5ac7893,1025474122,habit,Fabrice Rubio,cc-by-sa,"Dec 31, 2024",https://bs.plantnet.org/image/o/dd1654c61104827babaf76cd57137758e5ac7893,oui,
106,plantnet,756173f6fabec0617b5ddd3eb70a20feede82019,1022776856,flower,tamethyst,cc-by-sa,"Jun 3, 2024",https://bs.plantnet.org/image/o/756173f6fabec0617b5ddd3eb70a20feede82019,oui,
107,plantnet,1535d7ae502dbc113c02bfa8aa65b3d88dc1034a,1029845084,bark,laia robres,cc-by-sa,"Oct 26, 2025",https://bs.plantnet.org/image/o/1535d7ae502dbc113c02bfa8aa65b3d88dc1034a,oui,
,inaturalist,187628651,187628651,habit,voir iNaturalist,cc-by,,https://www.inaturalist.org/observations/187628651,oui,rangée au genre Goeppertia
,unsplash,3frihNsWLPo,,,feey,unsplash,,https://unsplash.com/photos/3frihNsWLPo,à décider,"licence Unsplash, hors CC"
,unsplash,IVkjIF5vSPg,,,feey,unsplash,,https://unsplash.com/photos/IVkjIF5vSPg,à décider,"licence Unsplash, hors CC"
,pexels,9741569,,,Kulbir,pexels,,https://www.pexels.com/photo/9741569/,à décider,"licence Pexels, hors CC"
,pexels,9871265,,,Kulbir,pexels,,https://www.pexels.com/photo/9871265/,à décider,"licence Pexels, hors CC"
,pexels,11678095,,,Kulbir,pexels,,https://www.pexels.com/photo/11678095/,à décider,"licence Pexels, hors CC"
,pexels,11296355,,,Kulbir,pexels,,https://www.pexels.com/photo/11296355/,à décider,"licence Pexels, hors CC"
,brevet US PP26187,FIG1,,,Taiyan Yam,domaine public (à confirmer),,https://patents.google.com/patent/USPP26187P2/en,à décider,une seule figure
